Dist_0001	Retail_0001
Dist_0002	Retail_0002
Dist_0003	Retail_0003
Dist_0004	Retail_0004
Dist_0005	Retail_0005
Dist_0006	Retail_0006
Dist_0007	Retail_0007
Dist_0008	Retail_0008
Dist_0009	Retail_0009
Dist_0010	Retail_0010
Dist_0011	Retail_0011
Dist_0012	Retail_0012
Dist_0013	Trans_0020
Dist_0014	Trans_0021
Dist_0015	Retail_0013
Dist_0016	Retail_0014
Dist_0017	Retail_0015
Dist_0018	Retail_0016
Dist_0019	Retail_0017
Dist_0020	Retail_0018
Dist_0021	Retail_0019
Dist_0022	Retail_0020
Dist_0023	Retail_0021
Dist_0024	Retail_0022
Dist_0025	Retail_0023
Dist_0026	Retail_0024
Dist_0027	Retail_0025
Dist_0028	Trans_0022
Dist_0029	Retail_0026
Dist_0030	Retail_0027
Dist_0031	Retail_0028
Manuf_0001	Dist_0001
Manuf_0002	Dist_0002
Manuf_0003	Dist_0003
Manuf_0004	Dist_0004
Manuf_0005	Dist_0005
Manuf_0006	Dist_0006
Manuf_0007	Dist_0007
Manuf_0008	Dist_0008
Manuf_0009	Dist_0009
Manuf_0010	Dist_0010
Manuf_0011	Dist_0011
Manuf_0012	Dist_0012
Manuf_0013	Dist_0013
Manuf_0014	Dist_0014
Manuf_0014	Dist_0015
Manuf_0015	Dist_0016
Manuf_0016	Dist_0017
Manuf_0017	Dist_0018
Manuf_0018	Dist_0019
Manuf_0018	Dist_0020
Manuf_0019	Dist_0021
Manuf_0020	Dist_0022
Manuf_0021	Dist_0023
Manuf_0021	Dist_0024
Manuf_0022	Dist_0025
Manuf_0022	Dist_0026
Manuf_0023	Dist_0027
Manuf_0024	Dist_0028
Part_0001	Trans_0001
Part_0001	Trans_0002
Part_0001	Trans_0003
Part_0001	Trans_0004
Part_0001	Trans_0005
Part_0002	Trans_0009
Part_0002	Trans_0013
Part_0002	Trans_0017
Part_0003	Trans_0010
Part_0003	Trans_0014
Part_0003	Trans_0018
Part_0004	Trans_0011
Part_0004	Trans_0015
Part_0004	Trans_0019
Part_0005	Manuf_0001
Part_0006	Manuf_0002
Part_0007	Manuf_0003
Part_0008	Manuf_0004
