Manuf_0001	Trans_0001
Manuf_0002	Trans_0002
Manuf_0002	Trans_0003
Manuf_0002	Trans_0004
Manuf_0002	Trans_0005
Manuf_0002	Trans_0006
Manuf_0003	Trans_0007
Manuf_0003	Trans_0008
Manuf_0003	Trans_0009
Manuf_0003	Trans_0010
Manuf_0003	Trans_0011
Manuf_0003	Trans_0012
Manuf_0003	Trans_0013
Manuf_0004	Trans_0014
Manuf_0004	Trans_0015
Manuf_0004	Trans_0016
Manuf_0004	Trans_0017
Manuf_0005	Trans_0018
Manuf_0005	Trans_0021
Manuf_0006	Trans_0019
Manuf_0006	Trans_0020
Manuf_0006	Trans_0022
Manuf_0006	Trans_0023
Manuf_0006	Trans_0024
Manuf_0007	Trans_0025
Manuf_0007	Trans_0028
Manuf_0008	Trans_0026
Manuf_0008	Trans_0027
Manuf_0008	Trans_0029
Manuf_0008	Trans_0030
Manuf_0008	Trans_0031
Manuf_0009	Trans_0032
Manuf_0009	Trans_0033
Manuf_0009	Trans_0034
Manuf_0009	Trans_0035
Manuf_0010	Trans_0036
Manuf_0010	Trans_0037
Manuf_0010	Trans_0038
Manuf_0010	Trans_0039
Manuf_0011	Trans_0040
Manuf_0011	Trans_0041
Manuf_0012	Trans_0042
Manuf_0012	Trans_0043
Manuf_0013	Trans_0044
Manuf_0013	Trans_0047
Manuf_0014	Trans_0045
Manuf_0014	Trans_0046
Manuf_0014	Trans_0048
Manuf_0014	Trans_0049
Manuf_0014	Trans_0050
Manuf_0015	Trans_0051
Manuf_0015	Trans_0052
Manuf_0016	Trans_0052
Manuf_0016	Trans_0053
Manuf_0016	Trans_0054
Manuf_0017	Retail_0001
Manuf_0018	Retail_0002
Manuf_0018	Retail_0003
Manuf_0018	Retail_0004
Manuf_0018	Retail_0005
Manuf_0018	Retail_0006
Manuf_0018	Retail_0007
Manuf_0018	Retail_0008
Manuf_0018	Retail_0009
Manuf_0018	Retail_0010
Manuf_0018	Retail_0011
Manuf_0018	Retail_0012
Manuf_0018	Retail_0013
Manuf_0019	Retail_0014
Manuf_0019	Retail_0015
Manuf_0019	Retail_0016
Manuf_0019	Retail_0017
Manuf_0019	Retail_0018
Manuf_0019	Retail_0019
Manuf_0019	Retail_0020
Manuf_0019	Retail_0021
Manuf_0019	Retail_0022
Manuf_0019	Retail_0023
Manuf_0019	Retail_0024
Manuf_0019	Retail_0025
Manuf_0019	Retail_0026
Manuf_0019	Retail_0027
Manuf_0020	Retail_0028
Manuf_0021	Retail_0029
Manuf_0021	Retail_0030
Manuf_0021	Retail_0031
Manuf_0021	Retail_0032
Manuf_0021	Retail_0033
Manuf_0021	Retail_0034
Manuf_0021	Retail_0035
Manuf_0021	Retail_0036
Manuf_0021	Retail_0037
Manuf_0021	Retail_0038
Manuf_0022	Retail_0039
Manuf_0022	Retail_0040
Manuf_0022	Retail_0041
Manuf_0022	Retail_0042
Manuf_0022	Retail_0043
Manuf_0023	Retail_0044
Manuf_0023	Retail_0045
Manuf_0023	Retail_0046
Manuf_0023	Retail_0047
Manuf_0023	Retail_0048
Manuf_0023	Retail_0049
Manuf_0023	Retail_0050
Manuf_0024	Retail_0051
Manuf_0024	Retail_0052
Manuf_0025	Retail_0053
Manuf_0026	Retail_0054
Manuf_0026	Retail_0055
Manuf_0026	Retail_0056
Manuf_0026	Retail_0057
Manuf_0026	Retail_0058
Manuf_0026	Retail_0059
Manuf_0026	Retail_0060
Manuf_0026	Retail_0061
Manuf_0027	Retail_0062
Manuf_0028	Retail_0063
Manuf_0028	Retail_0064
Manuf_0028	Retail_0065
Manuf_0028	Retail_0066
Manuf_0028	Retail_0067
Manuf_0028	Retail_0068
Manuf_0028	Retail_0069
Manuf_0028	Retail_0070
Manuf_0028	Retail_0071
Manuf_0028	Retail_0072
Manuf_0028	Retail_0073
Manuf_0028	Retail_0074
Manuf_0028	Retail_0075
Manuf_0029	Retail_0076
Manuf_0029	Retail_0077
Manuf_0029	Retail_0078
Manuf_0029	Retail_0079
Manuf_0029	Retail_0080
Manuf_0030	Retail_0081
Manuf_0031	Retail_0082
Manuf_0032	Retail_0083
Manuf_0033	Retail_0084
Manuf_0034	Retail_0085
Manuf_0034	Retail_0086
Manuf_0034	Retail_0087
Manuf_0034	Retail_0088
Manuf_0034	Retail_0089
Manuf_0034	Retail_0090
Manuf_0034	Retail_0091
Manuf_0034	Retail_0092
Manuf_0034	Retail_0093
Manuf_0034	Retail_0094
Manuf_0034	Retail_0095
Manuf_0034	Retail_0096
Manuf_0034	Retail_0097
Manuf_0035	Retail_0098
Manuf_0036	Retail_0099
