Manuf_0001	Trans_0001
Manuf_0002	Trans_0002
Manuf_0003	Trans_0003
Manuf_0004	Trans_0004
Manuf_0005	Trans_0005
Manuf_0006	Trans_0006
Manuf_0007	Dist_0001
Manuf_0007	Dist_0002
Manuf_0007	Dist_0003
Manuf_0008	Dist_0004
Manuf_0008	Dist_0005
Manuf_0008	Dist_0006
Manuf_0009	Dist_0007
Manuf_0009	Dist_0008
Manuf_0009	Dist_0009
Manuf_0010	Dist_0010
Manuf_0010	Dist_0011
Manuf_0010	Dist_0012
Trans_0001	Manuf_0007
Trans_0001	Manuf_0009
Trans_0001	Manuf_0010
Trans_0002	Manuf_0007
Trans_0002	Manuf_0008
Trans_0003	Manuf_0008
Trans_0004	Manuf_0009
Trans_0005	Manuf_0009
Trans_0005	Manuf_0010
Trans_0006	Manuf_0010
