Manuf_0001	Retail_0001
Manuf_0002	Retail_0002
Manuf_0003	Retail_0003
Manuf_0004	Retail_0004
Manuf_0005	Retail_0005
Manuf_0006	Retail_0006
Manuf_0007	Retail_0007
Manuf_0008	Retail_0008
Manuf_0009	Retail_0009
Manuf_0010	Retail_0010
Manuf_0011	Retail_0011
Manuf_0012	Retail_0012
Manuf_0013	Retail_0013
Manuf_0014	Retail_0014
Manuf_0015	Retail_0015
Manuf_0016	Retail_0016
Manuf_0017	Retail_0017
Manuf_0018	Retail_0018
Manuf_0019	Retail_0019
Manuf_0020	Retail_0020
Manuf_0021	Retail_0021
Manuf_0022	Retail_0022
Manuf_0023	Retail_0023
Manuf_0024	Retail_0024
Manuf_0025	Retail_0025
Manuf_0026	Retail_0026
Manuf_0027	Retail_0027
Manuf_0028	Retail_0028
Manuf_0029	Retail_0029
Manuf_0030	Retail_0030
Manuf_0031	Retail_0031
Manuf_0032	Retail_0032
Manuf_0033	Retail_0033
Manuf_0034	Retail_0034
Manuf_0035	Retail_0035
Manuf_0036	Retail_0036
Manuf_0037	Retail_0037
Manuf_0038	Retail_0038
Manuf_0039	Retail_0039
Manuf_0040	Retail_0040
Manuf_0041	Retail_0041
Manuf_0042	Retail_0042
Manuf_0043	Retail_0043
Manuf_0044	Retail_0044
Manuf_0045	Retail_0045
Manuf_0046	Retail_0046
Manuf_0047	Retail_0047
Manuf_0048	Retail_0048
Manuf_0049	Retail_0049
Manuf_0050	Retail_0050
Manuf_0051	Retail_0051
Manuf_0052	Retail_0052
Manuf_0053	Retail_0053
Manuf_0054	Retail_0054
Manuf_0055	Retail_0055
Manuf_0056	Dist_0006
Manuf_0056	Retail_0056
Manuf_0057	Retail_0057
Manuf_0058	Dist_0001
Manuf_0058	Dist_0002
Manuf_0058	Dist_0003
Manuf_0058	Dist_0004
Manuf_0058	Dist_0005
Manuf_0058	Retail_0058
Manuf_0059	Dist_0007
Manuf_0059	Dist_0008
Manuf_0059	Dist_0009
Manuf_0059	Dist_0010
Manuf_0059	Dist_0013
Manuf_0059	Dist_0014
Manuf_0059	Dist_0015
Manuf_0059	Dist_0019
Manuf_0059	Dist_0020
Manuf_0059	Dist_0021
Manuf_0059	Dist_0022
Manuf_0059	Dist_0023
Manuf_0059	Dist_0024
Manuf_0059	Dist_0025
Manuf_0059	Dist_0027
Manuf_0059	Dist_0028
Manuf_0059	Dist_0031
Manuf_0059	Retail_0059
Manuf_0060	Dist_0011
