Manuf_0001	Trans_0002
Manuf_0002	Dist_0001
Manuf_0002	Dist_0002
Manuf_0002	Dist_0003
Manuf_0002	Dist_0004
Manuf_0003	Dist_0005
Manuf_0003	Dist_0006
Manuf_0003	Dist_0007
Manuf_0003	Dist_0008
Manuf_0003	Dist_0009
Manuf_0003	Dist_0010
Manuf_0003	Dist_0011
Manuf_0003	Dist_0012
Manuf_0003	Dist_0013
Manuf_0003	Dist_0014
Manuf_0003	Dist_0015
Manuf_0004	Dist_0016
Manuf_0004	Dist_0017
Manuf_0004	Dist_0018
Manuf_0004	Dist_0019
Manuf_0004	Dist_0020
Manuf_0004	Dist_0021
Manuf_0004	Dist_0022
Manuf_0004	Dist_0023
Manuf_0004	Dist_0024
Manuf_0004	Dist_0025
Manuf_0004	Dist_0026
Part_0001	Manuf_0001
Part_0002	Manuf_0001
Part_0003	Manuf_0001
Part_0004	Manuf_0001
Part_0005	Manuf_0001
Part_0006	Manuf_0001
Part_0007	Trans_0001
Part_0008	Trans_0003
Part_0009	Manuf_0002
Part_0010	Manuf_0002
Part_0011	Manuf_0002
Part_0011	Manuf_0003
Part_0011	Manuf_0004
Part_0012	Manuf_0003
Part_0013	Manuf_0003
Part_0014	Manuf_0003
Part_0014	Manuf_0004
Part_0015	Manuf_0004
Part_0016	Manuf_0004
Trans_0001	Manuf_0002
Trans_0001	Manuf_0003
Trans_0002	Manuf_0002
Trans_0002	Manuf_0003
Trans_0002	Manuf_0004
Trans_0003	Manuf_0004
