Manuf_0001	Trans_0001
Manuf_0002	Dist_0001
Manuf_0002	Dist_0002
Manuf_0002	Dist_0003
Manuf_0003	Dist_0004
Manuf_0003	Dist_0005
Manuf_0003	Dist_0006
Manuf_0004	Dist_0007
Manuf_0004	Dist_0008
Manuf_0004	Dist_0009
Manuf_0005	Dist_0010
Manuf_0005	Dist_0011
Manuf_0005	Dist_0012
Manuf_0006	Dist_0013
Manuf_0006	Dist_0014
Manuf_0006	Dist_0015
Manuf_0007	Dist_0016
Manuf_0007	Dist_0017
Manuf_0007	Dist_0018
Manuf_0008	Dist_0019
Manuf_0008	Dist_0020
Manuf_0008	Dist_0021
Manuf_0009	Dist_0022
Manuf_0009	Dist_0023
Manuf_0009	Dist_0024
Manuf_0010	Dist_0025
Manuf_0010	Dist_0026
Manuf_0010	Dist_0027
Manuf_0011	Dist_0028
Manuf_0011	Dist_0029
Manuf_0011	Dist_0030
Manuf_0012	Dist_0031
Manuf_0012	Dist_0032
Manuf_0012	Dist_0033
Manuf_0013	Dist_0034
Manuf_0013	Dist_0035
Manuf_0013	Dist_0036
Manuf_0014	Dist_0037
Manuf_0014	Dist_0038
Manuf_0014	Dist_0039
Manuf_0015	Dist_0040
Manuf_0015	Dist_0041
Manuf_0015	Dist_0042
Manuf_0016	Dist_0043
Manuf_0016	Dist_0044
Manuf_0016	Dist_0045
Manuf_0017	Dist_0046
Manuf_0017	Dist_0047
Manuf_0017	Dist_0048
Manuf_0018	Dist_0049
Manuf_0018	Dist_0050
Manuf_0018	Dist_0051
Manuf_0019	Dist_0052
Manuf_0019	Dist_0053
Manuf_0019	Dist_0054
Manuf_0020	Dist_0055
Manuf_0020	Dist_0056
Manuf_0020	Dist_0057
Manuf_0021	Dist_0058
Manuf_0021	Dist_0059
Manuf_0021	Dist_0060
Manuf_0022	Dist_0061
Manuf_0022	Dist_0062
Manuf_0022	Dist_0063
Manuf_0023	Dist_0064
Manuf_0023	Dist_0065
Manuf_0023	Dist_0066
Manuf_0024	Dist_0067
Manuf_0024	Dist_0068
Manuf_0024	Dist_0069
Manuf_0025	Dist_0070
Manuf_0025	Dist_0071
Manuf_0025	Dist_0072
Manuf_0026	Dist_0073
Manuf_0026	Dist_0074
Manuf_0026	Dist_0075
Manuf_0027	Dist_0076
Manuf_0027	Dist_0077
Manuf_0027	Dist_0078
Manuf_0028	Dist_0079
Manuf_0028	Dist_0080
Manuf_0028	Dist_0081
Manuf_0029	Dist_0082
Manuf_0029	Dist_0083
Manuf_0029	Dist_0084
Manuf_0030	Dist_0085
Manuf_0030	Dist_0086
Manuf_0030	Dist_0087
Manuf_0031	Dist_0088
Manuf_0031	Dist_0089
Manuf_0031	Dist_0090
Manuf_0032	Dist_0091
Manuf_0032	Dist_0092
Manuf_0032	Dist_0093
Part_0001	Manuf_0001
Part_0002	Manuf_0001
Part_0003	Manuf_0001
Part_0004	Manuf_0001
Part_0005	Manuf_0001
Part_0005	Retail_0001
Part_0006	Manuf_0001
Part_0007	Manuf_0001
Part_0008	Manuf_0001
Part_0009	Manuf_0001
Part_0009	Retail_0002
Part_0010	Manuf_0001
Part_0010	Retail_0003
Part_0011	Manuf_0002
Part_0012	Manuf_0002
Part_0013	Manuf_0002
Part_0014	Manuf_0002
Part_0015	Manuf_0002
Part_0016	Manuf_0002
Part_0017	Manuf_0002
Part_0018	Manuf_0002
Part_0019	Manuf_0002
Part_0020	Manuf_0002
Part_0020	Manuf_0003
Part_0020	Manuf_0004
Part_0020	Manuf_0005
Part_0020	Manuf_0006
Part_0020	Manuf_0007
Part_0020	Manuf_0008
Part_0020	Manuf_0009
Part_0020	Manuf_0010
Part_0020	Manuf_0011
Part_0020	Manuf_0012
Part_0020	Manuf_0013
Part_0020	Manuf_0014
Part_0020	Manuf_0015
Part_0020	Manuf_0016
Part_0020	Manuf_0017
Part_0020	Manuf_0018
Part_0020	Manuf_0019
Part_0020	Manuf_0020
Part_0020	Manuf_0021
Part_0020	Manuf_0022
Part_0020	Manuf_0023
Part_0020	Manuf_0024
Part_0020	Manuf_0025
Part_0020	Manuf_0026
Part_0020	Manuf_0027
Part_0020	Manuf_0028
Part_0020	Manuf_0029
Part_0020	Manuf_0030
Part_0020	Manuf_0031
Part_0020	Manuf_0032
Part_0020	Retail_0005
Part_0021	Manuf_0002
Part_0021	Manuf_0003
Part_0021	Manuf_0004
Part_0021	Manuf_0005
Part_0021	Manuf_0006
Part_0021	Manuf_0007
Part_0021	Manuf_0008
Part_0021	Manuf_0009
Part_0021	Manuf_0010
Part_0021	Manuf_0011
Part_0021	Manuf_0012
Part_0021	Manuf_0013
Part_0021	Manuf_0014
Part_0021	Manuf_0015
Part_0021	Manuf_0016
Part_0021	Manuf_0017
Part_0021	Manuf_0018
Part_0021	Manuf_0019
Part_0021	Manuf_0020
Part_0021	Manuf_0021
Part_0021	Manuf_0022
Part_0021	Manuf_0023
Part_0021	Manuf_0024
Part_0021	Manuf_0025
Part_0021	Manuf_0026
Part_0021	Manuf_0027
Part_0021	Manuf_0028
Part_0021	Manuf_0029
Part_0021	Manuf_0030
Part_0021	Manuf_0031
Part_0021	Manuf_0032
Trans_0001	Manuf_0002
Trans_0001	Manuf_0003
Trans_0001	Manuf_0004
Trans_0001	Manuf_0005
Trans_0001	Manuf_0006
Trans_0001	Manuf_0007
Trans_0001	Manuf_0008
Trans_0001	Manuf_0009
Trans_0001	Manuf_0010
Trans_0001	Manuf_0011
Trans_0001	Manuf_0012
Trans_0001	Manuf_0013
Trans_0001	Manuf_0014
Trans_0001	Manuf_0015
Trans_0001	Manuf_0016
Trans_0001	Manuf_0017
Trans_0001	Manuf_0018
Trans_0001	Manuf_0019
Trans_0001	Manuf_0020
Trans_0001	Manuf_0021
Trans_0001	Manuf_0022
Trans_0001	Manuf_0023
Trans_0001	Manuf_0024
Trans_0001	Manuf_0025
Trans_0001	Manuf_0026
Trans_0001	Manuf_0027
Trans_0001	Manuf_0028
Trans_0001	Manuf_0029
Trans_0001	Manuf_0030
Trans_0001	Manuf_0031
Trans_0001	Manuf_0032
Trans_0001	Retail_0004
